,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 동대문구,N,,11230,개인,48800,2025-11-03,2001,휘경동,주공2,39.98,57,7
1,,개인,직거래,,N,25.11.06,11230,개인,12000,2025-11-03,2013,장안동,장안푸르미에,12.9463,466-5,4
2,도시형생활주택동,개인,중개거래,서울 동대문구,N,25.12.16,11230,개인,42700,2025-11-03,2016,용두동,동대문푸르지오시티(도시형생활주택),30.11,104-3,19
3,,개인,중개거래,서울 동대문구,N,,11230,개인,84800,2025-11-04,2000,이문동,쌍용,59.99,64,5
4,,개인,중개거래,서울 동대문구,N,,11230,개인,81300,2025-11-05,2001,휘경동,주공1,84.86,57,2
5,,개인,중개거래,서울 동대문구,N,,11230,개인,72500,2025-11-06,2001,휘경동,주공2,59.97,57,9
6,,개인,중개거래,서울 동대문구,N,,11230,개인,77500,2025-11-06,2000,답십리동,답십리청솔우성,59.74,80,11
7,,개인,직거래,,N,,11230,개인,70000,2025-11-07,2020,답십리동,답십리엘림퍼스트,52.6987,1015,7
8,,개인,중개거래,서울 동대문구,N,,11230,개인,96500,2025-11-07,2000,전농동,전농SK,114.3,10,5
9,,개인,중개거래,서울 종로구,N,,11230,개인,37000,2025-11-08,2020,장안동,에스아이팰리스장안센텀,26.537,416-1,8
10,,개인,중개거래,"서울 동대문구, 서울 서초구",N,,11230,개인,180000,2025-11-08,2023,전농동,청량리역롯데캐슬 SKY-L65,84.981,620-47,19
11,,개인,중개거래,"서울 동대문구, 서울 성북구",N,,11230,개인,102000,2025-11-08,2003,이문동,대림e-편한세상,84.972,225,23
12,제119동,개인,중개거래,서울 동대문구,N,25.12.11,11230,개인,109000,2025-11-09,2003,장안동,장안현대홈타운(336),112.78,336,3
13,,개인,중개거래,서울 동대문구,N,,11230,개인,135000,2025-11-09,2019,휘경동,휘경SK뷰,84.31,372,19
14,106,개인,중개거래,서울 동대문구,N,25.12.02,11230,개인,82000,2025-11-10,1997,청량리동,한신,84.92,60,3
15,,개인,중개거래,서울 동대문구,N,,11230,개인,165000,2025-11-10,2021,용두동,이편한세상청계센트럴포레,84.93,795,17
16,,개인,중개거래,서울 동대문구,N,,11230,개인,110000,2025-11-10,2003,장안동,장안현대홈타운(336),112.78,336,5
17,,개인,중개거래,서울 동대문구,N,,11230,개인,83000,2025-11-11,2000,답십리동,답십리청솔우성,84.94,80,1
18,,개인,중개거래,서울 동대문구,N,,11230,개인,91000,2025-11-11,2003,이문동,대림e-편한세상,59.958,225,4
19,,개인,중개거래,서울 동대문구,N,,11230,개인,146000,2025-11-12,2014,답십리동,래미안위브,59.96,1003,13
20,,개인,직거래,,N,25.12.01,11230,개인,23000,2025-11-12,2017,회기동,민족통일MJ캠퍼스경희대,23.16,67-3,10
21,,개인,중개거래,서울 동대문구,N,,11230,개인,74500,2025-11-12,2000,답십리동,청솔2차우성,59.97,80-2,10
22,,개인,중개거래,서울 동대문구,N,,11230,개인,95000,2025-11-12,2000,답십리동,두산,84.83,990,20
23,,개인,중개거래,서울 동대문구,N,,11230,개인,107400,2025-11-12,2007,장안동,래미안장안2차,81.05,329-3,6
24,,개인,중개거래,서울 동대문구,N,,11230,개인,76000,2025-11-12,2000,이문동,현대,59.92,54,13
25,,개인,중개거래,서울 동대문구,N,,11230,개인,14200,2025-11-12,2015,답십리동,청계푸르지오시티,18.92,497-23,9
